Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Live weight (tonnes),Landed weight (tonnes),Value(£000s)
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.28,0.28,0.34
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.00,0.00,0.04
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,1.12,1.12,1.37
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Crabs,Shellfish,3.34,3.34,3.91
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Lobsters,Shellfish,0.03,0.03,0.52
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Scallops,Shellfish,10.14,10.14,20.80
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.07,0.07,1.40
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Scallops,Shellfish,4.84,4.84,10.72
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,0.43,0.43,0.49
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.03,0.03,0.39
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.16,0.16,3.18
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,20.77,20.77,41.07
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,2.93,2.93,28.75
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.39,0.39,0.47
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.84,0.84,8.14
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,1.90,1.90,6.11
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Bass,Demersal,0.01,0.01,0.14
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Brill,Demersal,0.00,0.00,0.03
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Cod,Demersal,0.16,0.14,0.41
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Crabs,Shellfish,0.02,0.02,0.03
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Lobsters,Shellfish,0.02,0.02,0.32
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,1.71,1.52,3.03
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Sole,Demersal,0.22,0.21,1.40
1,Alesund,Foreign,Norway,UK,Over10m,Mackerel,Pelagic,2497.18,2497.18,2256.67
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.00,0.00,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.64,0.55,0.60
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,27.86,27.86,31.13
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.20,0.17,0.17
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Hake,Demersal,0.01,0.01,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.03,0.03,0.03
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,1.47,1.47,19.85
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.05,0.05,0.11
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Mullet,Demersal,0.00,0.00,0.00
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Nephrops,Shellfish,8.59,8.03,26.14
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Plaice,Demersal,0.07,0.07,0.03
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Sole,Demersal,0.01,0.01,0.02
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Squid,Shellfish,0.03,0.03,0.06
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Turbot,Demersal,0.01,0.01,0.04
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Whelks,Shellfish,0.01,0.01,0.01
