Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Sum of Live weight (tonnes),Sum of Landed weight (tonnes),Sum of Value(£)
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.02,0.02,0.31
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,11.10,11.10,34.08
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,1.00,1.00,18.68
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.01,0.01,0.02
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.00,0.00,0.03
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.16,0.16,2.86
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Scallops,Shellfish,0.13,0.13,0.37
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,1.93,1.93,5.45
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.14,0.14,2.10
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.27,0.27,5.69
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,29.86,29.86,70.88
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.95,0.95,2.93
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.02,0.02,0.34
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,2.06,2.06,13.57
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.59,0.59,1.80
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,1.53,1.53,10.12
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,0.11,0.11,0.43
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Bass,Demersal,0.07,0.07,0.89
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Cod,Demersal,0.02,0.02,0.07
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Plaice,Demersal,0.00,0.00,0.00
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,1.96,1.74,3.16
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Sole,Demersal,0.01,0.01,0.08
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Whiting,Demersal,0.01,0.01,0.00
1,Alesund,Foreign,Norway,UK,Over10m,Herring,Pelagic,2.94,2.94,0.00
1,Alesund,Foreign,Norway,UK,Over10m,Horse Mackerel,Pelagic,19.90,19.90,0.00
