Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Sum of Live weight (tonnes),Sum of Landed weight (tonnes),Sum of Value(£),
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0993,0.0993,0.1986,
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0256,0.0256,0.494,
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,7.59,7.59,20.09114,
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,0.3109,0.3109,6.66279,
1,Abersoch,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0064,0.0064,0.0128,
1,Abersoch,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0097,0.0097,0.1898,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.0168,0.0168,0.042,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0055,0.0055,0.1086,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.1608,0.1608,3.2862,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Scallops,Shellfish,6.022,6.022,12.06434,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,0.7108,0.7108,1.77826,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.062,0.062,1.2335,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.111,0.111,2.52041,
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,11.6526,11.6526,24.35476,
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.13,0.13,0.25579,
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,1.4609,1.4609,18.00209,
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.2164,0.2164,0.3809,
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.4467,0.4467,4.49113,
1,Aith,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.02,0.02,0.0442,
1,Aith,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.042,0.042,0.78204,
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Bass,Demersal,0.011,0.011,0.11,
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,1.4652,0.923,2.6992,
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Sole,Demersal,0.0832,0.08,0.16,
1,Alesund,Foreign,Norway,UK,Over10m,Mackerel,Pelagic,968.144,968.144,1064.38911,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.0006,0.0005,0.00174,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.4175,0.3681,0.47768,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,9.4733,9.4733,21.32995,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.0024,0.002,0.00436,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.0021,0.002,0.00229,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,1.906,1.906,38.88669,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.0164,0.0135,0.0363,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Mullet,Demersal,0.0001,0.0001,0.00051,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Nephrops,Shellfish,3.211,2.575,15.97873,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Plaice,Demersal,0.0014,0.0014,0.00151,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Sole,Demersal,0.0005,0.0005,0.0015,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Squid,Shellfish,0.0113,0.0113,0.03399,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Turbot,Demersal,0.0014,0.0013,0.00548,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Whelks,Shellfish,0.1635,0.1635,0.19692,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Whiting,Demersal,0.0004,0.0004,0.00041,
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Witch,Demersal,0.0003,0.0003,0.00044,
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Cod,Demersal,0.0877,0.075,0.1257,
